pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
193.9,-70.05,-90.0,bottom,D21,,,D_SOD-123_Back,1N4148W,smt
212.95,-70.05,-90.0,bottom,D22,,,D_SOD-123_Back,1N4148W,smt
232.0,-70.05,-90.0,bottom,D23,,,D_SOD-123_Back,1N4148W,smt
251.05,-70.05,-90.0,bottom,D24,,,D_SOD-123_Back,1N4148W,smt
41.5,-89.1,-90.0,bottom,D25,,,D_SOD-123_Back,1N4148W,smt
60.55,-89.1,-90.0,bottom,D26,,,D_SOD-123_Back,1N4148W,smt
79.6,-89.1,-90.0,bottom,D27,,,D_SOD-123_Back,1N4148W,smt
98.65,-89.1,-90.0,bottom,D28,,,D_SOD-123_Back,1N4148W,smt
117.7,-89.1,-90.0,bottom,D29,,,D_SOD-123_Back,1N4148W,smt
79.6,-51.0,-90.0,bottom,D3,,,D_SOD-123_Back,1N4148W,smt
136.75,-89.1,-90.0,bottom,D30,,,D_SOD-123_Back,1N4148W,smt
155.8,-89.1,-90.0,bottom,D31,,,D_SOD-123_Back,1N4148W,smt
174.85,-89.1,-90.0,bottom,D32,,,D_SOD-123_Back,1N4148W,smt
193.9,-89.1,-90.0,bottom,D33,,,D_SOD-123_Back,1N4148W,smt
212.95,-89.1,-90.0,bottom,D34,,,D_SOD-123_Back,1N4148W,smt
232.0,-89.1,-90.0,bottom,D35,,,D_SOD-123_Back,1N4148W,smt
251.05,-89.1,-90.0,bottom,D36,,,D_SOD-123_Back,1N4148W,smt
41.5,-108.15,-90.0,bottom,D37,,,D_SOD-123_Back,1N4148W,smt
60.55,-108.15,-90.0,bottom,D38,,,D_SOD-123_Back,1N4148W,smt
79.6,-108.15,-90.0,bottom,D39,,,D_SOD-123_Back,1N4148W,smt
98.65,-51.0,-90.0,bottom,D4,,,D_SOD-123_Back,1N4148W,smt
98.65,-108.15,-90.0,bottom,D40,,,D_SOD-123_Back,1N4148W,smt
117.7,-108.15,-90.0,bottom,D41,,,D_SOD-123_Back,1N4148W,smt
136.75,-108.15,-90.0,bottom,D42,,,D_SOD-123_Back,1N4148W,smt
155.8,-108.15,-90.0,bottom,D43,,,D_SOD-123_Back,1N4148W,smt
174.85,-108.15,-90.0,bottom,D44,,,D_SOD-123_Back,1N4148W,smt
193.9,-108.15,-90.0,bottom,D45,,,D_SOD-123_Back,1N4148W,smt
212.95,-108.15,-90.0,bottom,D46,,,D_SOD-123_Back,1N4148W,smt
232.0,-108.15,-90.0,bottom,D47,,,D_SOD-123_Back,1N4148W,smt
251.05,-108.15,-90.0,bottom,D48,,,D_SOD-123_Back,1N4148W,smt
41.5,-127.2,-90.0,bottom,D49,,,D_SOD-123_Back,1N4148W,smt
117.7,-51.0,-90.0,bottom,D5,,,D_SOD-123_Back,1N4148W,smt
60.55,-127.2,-90.0,bottom,D50,,,D_SOD-123_Back,1N4148W,smt
79.6,-127.2,-90.0,bottom,D51,,,D_SOD-123_Back,1N4148W,smt
98.65,-127.2,-90.0,bottom,D52,,,D_SOD-123_Back,1N4148W,smt
117.7,-127.2,-90.0,bottom,D53,,,D_SOD-123_Back,1N4148W,smt
146.275,-127.2,-90.0,bottom,D54,,,D_SOD-123_Back,1N4148W,smt
174.85,-127.2,-90.0,bottom,D55,,,D_SOD-123_Back,1N4148W,smt
193.9,-127.2,-90.0,bottom,D56,,,D_SOD-123_Back,1N4148W,smt
212.95,-127.2,-90.0,bottom,D57,,,D_SOD-123_Back,1N4148W,smt
232.0,-127.2,-90.0,bottom,D58,,,D_SOD-123_Back,1N4148W,smt
251.05,-127.2,-90.0,bottom,D59,,,D_SOD-123_Back,1N4148W,smt
136.75,-51.0,-90.0,bottom,D6,,,D_SOD-123_Back,1N4148W,smt
137.0,-35.5,0.0,bottom,D60,,,D_SOD-123_Back,B5819W,smt
155.8,-51.0,-90.0,bottom,D7,,,D_SOD-123_Back,1N4148W,smt
174.85,-51.0,-90.0,bottom,D8,,,D_SOD-123_Back,1N4148W,smt
193.9,-51.0,-90.0,bottom,D9,,,D_SOD-123_Back,1N4148W,smt
262.0,-25.6,180.0,top,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,smt
128.0,-27.5,0.0,bottom,J2,,,JST_SH_SM02B_2pin_Back,Battery JST-SH,smt
223.0,-27.0,-90.0,top,LED1,,,LED_0603,CHG,smt
137.0,-31.0,0.0,top,Q1,,,SOT-23,DMG3415U,smt
